num_threads,grid_size,avg_time_per_tick,speedup
1,64,0.000045,1.000000
1,128,0.000190,1.000000
1,256,0.000844,1.000000
1,512,0.003459,1.000000
1,1024,0.014524,1.000000
1,1536,0.033407,1.000000
1,2048,0.058497,1.000000
1,2560,0.094482,1.000000
1,3200,0.144994,1.000000
2,64,0.000029,1.580660
2,128,0.000128,1.480974
2,256,0.000477,1.768748
2,512,0.001944,1.779107
2,1024,0.008045,1.805309
2,1536,0.018291,1.826463
2,2048,0.033823,1.729486
2,2560,0.051754,1.825607
2,3200,0.085495,1.695931
4,64,0.000016,2.874581
4,128,0.000058,3.292230
4,256,0.000287,2.942840
4,512,0.001251,2.764255
4,1024,0.005195,2.795923
4,1536,0.011486,2.908430
4,2048,0.020865,2.803604
4,2560,0.033209,2.845105
4,3200,0.050940,2.846366
6,64,0.000018,2.482496
6,128,0.000070,2.723155
6,256,0.000302,2.797014
6,512,0.001007,3.433937
6,1024,0.004403,3.298366
6,1536,0.010620,3.145626
6,2048,0.017090,3.422864
6,2560,0.026830,3.521573
6,3200,0.040973,3.538800
8,64,0.000016,2.905362
8,128,0.000050,3.755874
8,256,0.000207,4.086484
8,512,0.000911,3.795968
8,1024,0.003863,3.759344
8,1536,0.008265,4.042197
8,2048,0.015076,3.880154
8,2560,0.022186,4.258647
8,3200,0.035613,4.071430
